,plant_code,plant_name,stalk_counted
1,Ach_mil,Achillea millefolium,1
2,Ach_pta,Achillea ptarmica,1
3,Alc_sp,Alchemilla species,0
4,Ana_arv,Anagallis arvensis,1
5,Ang_syl,Angelica sylvestris,1
6,Bet_off,Betonica officinalis,1
7,Bra_nap,Brassica napus,1
8,Cam_pat,Campanula patula,1
9,Cam_rot,Campanula rotundifolia,1
10,Cap_bur,Capsella bursa-pastoris,0
11,Cen_jac,Centaurea jacea,1
12,Cer_arv,Cerastium arvense,0
13,Cer_hol,Cerastium holosteoides,0
14,Cir_arv,Cirsium arvense,1
15,Cir_can,Cirsium canum,1
16,Cir_pal,Cirsium palustre,1
17,Con_can,Convolvulus arvensis,0
18,Cre_bie,Crepis biennis,1
19,Cus_eur,Cuscuta europaea,0
20,Dau_car,Daucus carota,1
21,Epi_ang,Epilobium angustifolium,0
22,Epi_sp,Epilobium species,0
23,Eup_hel,Euphorbia helioscopia,0
24,Fal_con,Fallopia convolvulus,0
25,Gal_alb,Galium album s.lat.,0
26,Gal_bor,Galium boreale,0
27,Gal_pal,Galium palustre,0
28,Gal_qua,Galium species,0
29,Gal_spe,Galium species,0
30,Gal_uli,Galium uliginosum,0
31,Gale_sp,Galeopsis speciosa,0
32,Gna_syl,Gnaphalium sylvaticum,0
33,Her_sph,Heracleum sphondylium,1
34,Hie_lae,Hieracium lachenalii,0
35,Hie_sp,Hieracium species,0
36,Hyp_mac,Hypericum maculatum,1
37,Hyp_per,Hypericum perforatum,1
38,Hyp_rad,Hypochaeris radicata,1
39,Lam_alb,Lamium album,0
40,Lat_pra,Lathyrus pratensis,0
41,Leo_aut,Leontodon autumnalis,1
42,Leo_his,Leontodon hispidus,1
43,Leu_vul,Leucanthemum vulgare agg.,1
44,Lot_cor,Lotus corniculatus,0
45,Lyc_eur,Lycopus europaeus,0
46,Lyc_flo,Lychnis flos-cuculi,0
47,Lys_num,Lysimachia nummularia,0
48,Lys_vul,Lysimachia vulgaris,0
49,Lyt_sal,Lythrum salicaria,1
50,Mat_dis,Matricaria chamomilla,0
51,Mat_cha,Matricaria discoidea,0
52,Med_lup,Medicago lupulina,0
53,Men_arv,Mentha arvensis,0
54,Myo_pal,Myosotis palustris agg.,0
55,Myo_ram,Myosotis ramosissima,0
56,Odo_ver,Odontites vernus,0
57,Pep_por,Peplis portula,0
58,Per_hyd,Persicaria hydropiper,0
59,Per_mac,Persicaria maculosa,0
60,Per_min,Persicaria minor,0
61,Pim_sax,Pimpinella saxifraga s.str.,1
62,Pla_lan,Plantago lanceolata,0
63,Pla_maj,Plantago major,0
64,Pla_med,Plantago media,0
65,Pol_avi,Polygonum aviculare agg.,0
66,Pot_ans,Potentilla anserina,0
67,Pot_ere,Potentilla erecta,0
68,Pru_vul,Prunella vulgaris,0
69,Ran_acr,Ranunculus acris,1
70,Ran_aur,Ranunculus auricomus,0
71,Ran_fla,Ranunculus flammula,0
72,Ran_rep,Ranunculus repens,0
73,Rap_rap,Ranunculus_rapunculoides ,0
74,Rhi_min,Rhinanthus minor,0
75,San_off,Sanguisorba officinalis,1
76,Scu_gal,Scutellaria galericulata,0
77,Sel_car,Selinum carvifolia,1
78,Ser_tin,Serratula tinctoria,1
79,Ste_gra,Stellaria graminea,0
80,Suc_pra,Succisa pratensis,1
81,Tri_cam,Trifolium campestre,0
82,Tri_dub,Trifolium dubium,0
83,Tri_hyb,Trifolium hybridum,0
84,Tri_med,Trifolium medium,0
85,Tri_pra,Trifolium pratense,0
86,Tri_rep,Trifolium repens,0
87,Ver_arv,Veronica arvensis,0
88,Ver_cha,Veronica chamaedrys,0
89,Ver_scu,Veronica scutellata,0
90,Ver_ser,Veronica serpirifolia,0
91,Vic_cra,Vicia cracca agg.,0
92,Vic_hir,Vicia hirsuta,0
93,Vic_sep,Vicia sepium,0
94,Vic_tet,Vicia tetrasperma,0
95,Vio_arv,Viola arvensis,0
96,Cer_spe,Cerastium species,0
97,Pru_gra,Prunella vulgaris,0
98,Son_arv,Sonchus arvensis,0
99,Dia_del,Dianthus deltoides,0
100,Epi_pal,Epilobium palustre,0
101,Gal_apa,Galium aparine,0
102,Per_spe,Persicaria species,0
103,Cen_cyn,Centaurea cyanus,0
104,Gal_ver,Galium verum,0
105,Hie_umb,Hieracium umbellatum,0
106,Per_lap,Persicaria lapathifolia,0
107,Tri_ino,Tripleurospermum inodorum,0
